email_text,category
Can you install Python on my machine?,IT
Please share the feedback link for the session.,Other
My laptop is not turning on. Please help.,IT
How do I apply for paternity leave?,HR
Can you install Python on my machine?,IT
I would like to apply for sick leave starting tomorrow.,HR
Getting an error while accessing shared drive.,IT
Can you please share my salary slip for April?,HR
Where can I find the stationary supplies?,Other
Can you install Python on my machine?,IT
I would like to apply for sick leave starting tomorrow.,HR
Where can I find the stationary supplies?,Other
Is parking available in the basement?,Other
I want to update my bank details for salary processing.,HR
Is there any event planned this weekend?,Other
Is there any scheduled downtime for today?,IT
Can you confirm my leave balance?,HR
Can we leave early on Friday?,Other
I lost my ID card. What should I do?,Other
Where can I find the stationary supplies?,Other
I need a copy of my offer letter.,HR
I am unable to join MS Teams meetings.,IT
Where can I find the stationary supplies?,Other
How do I set up a printer?,IT
VPN is not connecting from home.,IT
Is there any scheduled downtime for today?,IT
I am unable to join MS Teams meetings.,IT
I would like to apply for sick leave starting tomorrow.,HR
Outlook is not syncing. What should I do?,IT
Can you please share my salary slip for April?,HR
Can you install Python on my machine?,IT
I need a copy of my offer letter.,HR
I need a copy of my offer letter.,HR
My laptop is not turning on. Please help.,IT
Is there any scheduled downtime for today?,IT
I lost my ID card. What should I do?,Other
I lost my ID card. What should I do?,Other
Please share the feedback link for the session.,Other
I am unable to join MS Teams meetings.,IT
How do I apply for paternity leave?,HR
Is there any scheduled downtime for today?,IT
Can you please share my salary slip for April?,HR
Can you confirm my leave balance?,HR
Getting an error while accessing shared drive.,IT
How do I apply for paternity leave?,HR
I lost my ID card. What should I do?,Other
I want to update my bank details for salary processing.,HR
I am unable to join MS Teams meetings.,IT
I lost my ID card. What should I do?,Other
Is the gym open during lunch hours?,Other
Is the gym open during lunch hours?,Other
How do I apply for paternity leave?,HR
Is the gym open during lunch hours?,Other
Is parking available in the basement?,Other
How do I set up a printer?,IT
Where can I find the stationary supplies?,Other
VPN is not connecting from home.,IT
Where can I find the stationary supplies?,Other
I forgot my system password. Can you reset it?,IT
Is there any scheduled downtime for today?,IT
I have a question about the new HR policy.,HR
I have a question about the new HR policy.,HR
Is parking available in the basement?,Other
How do I get a duplicate access card?,Other
Is there any scheduled downtime for today?,IT
VPN is not connecting from home.,IT
I forgot my system password. Can you reset it?,IT
Outlook is not syncing. What should I do?,IT
I forgot my system password. Can you reset it?,IT
I am unable to join MS Teams meetings.,IT
Is the gym open during lunch hours?,Other
What's the menu in the cafeteria today?,Other
My laptop is not turning on. Please help.,IT
I want to update my bank details for salary processing.,HR
How do I apply for paternity leave?,HR
I would like to apply for sick leave starting tomorrow.,HR
When will I receive my appraisal letter?,HR
I lost my ID card. What should I do?,Other
How do I get a duplicate access card?,Other
I need a copy of my offer letter.,HR
My laptop is not turning on. Please help.,IT
Kindly update my address in HR records.,HR
I lost my ID card. What should I do?,Other
How do I apply for paternity leave?,HR
VPN is not connecting from home.,IT
My laptop is not turning on. Please help.,IT
What's the menu in the cafeteria today?,Other
I am unable to join MS Teams meetings.,IT
I want to resign. Please let me know the process.,HR
VPN is not connecting from home.,IT
Is there any event planned this weekend?,Other
I am unable to join MS Teams meetings.,IT
How do I set up a printer?,IT
Please share the feedback link for the session.,Other
Can we leave early on Friday?,Other
What's the menu in the cafeteria today?,Other
Is parking available in the basement?,Other
I would like to apply for sick leave starting tomorrow.,HR
I have a question about the new HR policy.,HR
I want to resign. Please let me know the process.,HR
Can you please share my salary slip for April?,HR
How do I get a duplicate access card?,Other
Can you please share my salary slip for April?,HR
Where can I find the stationary supplies?,Other
Outlook is not syncing. What should I do?,IT
My internet is very slow. Please check.,IT
My internet is very slow. Please check.,IT
I lost my ID card. What should I do?,Other
When will I receive my appraisal letter?,HR
VPN is not connecting from home.,IT
Can you confirm my leave balance?,HR
Can you confirm my leave balance?,HR
I need a copy of my offer letter.,HR
I am unable to join MS Teams meetings.,IT
How do I set up a printer?,IT
What's the menu in the cafeteria today?,Other
I have a question about the new HR policy.,HR
I want to resign. Please let me know the process.,HR
I lost my ID card. What should I do?,Other
How do I get a duplicate access card?,Other
Can we leave early on Friday?,Other
I am unable to join MS Teams meetings.,IT
How do I get a duplicate access card?,Other
Can we leave early on Friday?,Other
Getting an error while accessing shared drive.,IT
Getting an error while accessing shared drive.,IT
Can we leave early on Friday?,Other
I want to update my bank details for salary processing.,HR
Kindly update my address in HR records.,HR
Is the gym open during lunch hours?,Other
How do I set up a printer?,IT
Is parking available in the basement?,Other
Is there any event planned this weekend?,Other
Can I bring a guest to the office party?,Other
Kindly update my address in HR records.,HR
Can we leave early on Friday?,Other
What's the menu in the cafeteria today?,Other
How do I get a duplicate access card?,Other
I lost my ID card. What should I do?,Other
I need a copy of my offer letter.,HR
Can you please share my salary slip for April?,HR
Kindly update my address in HR records.,HR
How do I get a duplicate access card?,Other
Getting an error while accessing shared drive.,IT
VPN is not connecting from home.,IT
Where can I find the stationary supplies?,Other
Kindly update my address in HR records.,HR
I am unable to join MS Teams meetings.,IT
Is there any event planned this weekend?,Other
What's the menu in the cafeteria today?,Other
Can we leave early on Friday?,Other
Outlook is not syncing. What should I do?,IT
How do I set up a printer?,IT
I want to update my bank details for salary processing.,HR
Can you confirm my leave balance?,HR
I want to resign. Please let me know the process.,HR
Is there any scheduled downtime for today?,IT
How do I set up a printer?,IT
I forgot my system password. Can you reset it?,IT
I am unable to join MS Teams meetings.,IT
Can you install Python on my machine?,IT
What's the menu in the cafeteria today?,Other
When will I receive my appraisal letter?,HR
Can you please share my salary slip for April?,HR
How do I apply for paternity leave?,HR
I am unable to join MS Teams meetings.,IT
I want to resign. Please let me know the process.,HR
I am unable to join MS Teams meetings.,IT
How do I apply for paternity leave?,HR
Kindly update my address in HR records.,HR
Can we leave early on Friday?,Other
Can you please share my salary slip for April?,HR
Outlook is not syncing. What should I do?,IT
What's the menu in the cafeteria today?,Other
I would like to apply for sick leave starting tomorrow.,HR
I forgot my system password. Can you reset it?,IT
Please share the feedback link for the session.,Other
I want to update my bank details for salary processing.,HR
I would like to apply for sick leave starting tomorrow.,HR
I need a copy of my offer letter.,HR
Where can I find the stationary supplies?,Other
My laptop is not turning on. Please help.,IT
Outlook is not syncing. What should I do?,IT
How do I set up a printer?,IT
Can we leave early on Friday?,Other
I forgot my system password. Can you reset it?,IT
Can you please share my salary slip for April?,HR
My internet is very slow. Please check.,IT
I want to resign. Please let me know the process.,HR
What's the menu in the cafeteria today?,Other
How do I apply for paternity leave?,HR
I need a copy of my offer letter.,HR
I forgot my system password. Can you reset it?,IT
I forgot my system password. Can you reset it?,IT
Please share the feedback link for the session.,Other
Can we leave early on Friday?,Other
How do I apply for paternity leave?,HR
Kindly update my address in HR records.,HR
Outlook is not syncing. What should I do?,IT
Kindly update my address in HR records.,HR
Outlook is not syncing. What should I do?,IT
What's the menu in the cafeteria today?,Other
When will I receive my appraisal letter?,HR
Is the gym open during lunch hours?,Other
Can we leave early on Friday?,Other
How do I apply for paternity leave?,HR
Can you confirm my leave balance?,HR
Can you confirm my leave balance?,HR
I want to update my bank details for salary processing.,HR
Outlook is not syncing. What should I do?,IT
Can I bring a guest to the office party?,Other
Where can I find the stationary supplies?,Other
Getting an error while accessing shared drive.,IT
I have a question about the new HR policy.,HR
Is parking available in the basement?,Other
When will I receive my appraisal letter?,HR
How do I get a duplicate access card?,Other
Can you please share my salary slip for April?,HR
I am unable to join MS Teams meetings.,IT
I want to resign. Please let me know the process.,HR
I want to update my bank details for salary processing.,HR
Kindly update my address in HR records.,HR
I forgot my system password. Can you reset it?,IT
Is the gym open during lunch hours?,Other
I am unable to join MS Teams meetings.,IT
Outlook is not syncing. What should I do?,IT
I forgot my system password. Can you reset it?,IT
How do I get a duplicate access card?,Other
I lost my ID card. What should I do?,Other
Can we leave early on Friday?,Other
VPN is not connecting from home.,IT
How do I apply for paternity leave?,HR
Is there any scheduled downtime for today?,IT
I would like to apply for sick leave starting tomorrow.,HR
Can you please share my salary slip for April?,HR
I would like to apply for sick leave starting tomorrow.,HR
Kindly update my address in HR records.,HR
Is the gym open during lunch hours?,Other
Getting an error while accessing shared drive.,IT
Is the gym open during lunch hours?,Other
How do I apply for paternity leave?,HR
Can you please share my salary slip for April?,HR
How do I get a duplicate access card?,Other
